Time Passed (days),Orbital Period (days),Barycentric X Position of Alpha A (m),Barycentric Y Position of Alpha A (m),Barycentric X Position of Alpha B (m),Barycentric Y Position of Alpha B (m),Scalar Distance Between Both Masses (m),Radius of Alpha A from the Barycenter (m),Radius of Alpha B from the Barycenter (m),Orbital Velocity of Alpha A (m/s),Orbital Velocity of Alpha B (m/s),Kinetic Energy of Alpha A (J),Kinetic Energy of Alpha B (J),Relative Kinetic Energy Within the System (J),Gravitational Potential Energy (J),Total Mechanical Energy Within the System (J),Acceleration of Alpha A (m/s/s),Acceleration of Alpha B (m/s/s),Relative Net Acceleration (m/s/s)
15957.217809366932,29143.0723794471,-2343407752402.571,-261047568049.27243,2835393910365.5415,315853134822.0479,5210834969874.136,2357902823868.0464,2852932146006.0894,7607.834993396964,6916.371532979141,6.337767284899715e+37,4.329175663989483e+37,1.0666942948889197e+38,-5.077162858343033e+37,-3.779465395714286e+37,4.449074319424942e-06,5.383134121293162e-06,9.832208440718104e-06
15986.390053991003,29143.0723794471,-2340739765933.5273,-266337404693.70715,2832165794140.5664,322253544905.6456,5206283822401.132,2355843429636.512,2850440392764.6196,7620.833723820209,6928.1888304287095,6.3594431777496365e+37,4.34398194254198e+37,1.0703425120291618e+38,-5.081601132878386e+37,-3.779465395714286e+37,4.45685616315395e-06,5.392549722269144e-06,9.849405885423094e-06
16015.562298615072,29143.0723794471,-2338020358464.062,-271614729646.3397,2828875461346.019,328638816533.41644,5201645579282.797,2353744624625.466,2847900954657.331,7634.081782152932,6940.232794789034,6.381572909897622e+37,4.359098227750802e+37,1.0740671137648423e+38,-5.086132333846512e+37,-3.779465395714286e+37,4.464807954020377e-06,5.402170949892058e-06,9.866978903912435e-06
16044.734543239147,29143.0723794471,-2335249776154.9697,-276879320791.2332,2825523209822.864,335008680957.34845,5196920697825.053,2351606615765.8364,2845314082059.2163,7647.577956228695,6952.502324065464,6.404156621327161e+37,4.374524615235279e+37,1.0778681236562439e+38,-5.090756489909905e+37,-3.779465395714286e+37,4.472930178437114e-06,5.411998392694629e-06,9.884928571131742e-06
16073.906787863216,29143.0723794471,-2332428269079.2256,-282130958073.6418,2822109342145.582,341362871923.3566,5192109642676.613,2349429613311.1675,2842680029365.446,7661.321019958226,6964.996303605942,6.427194454908487e+37,4.390261202586621e+37,1.0817455657495109e+38,-5.095473630322142e+37,-3.779465395714286e+37,4.481223332985856e-06,5.422032651513273e-06,9.903255984499128e-06
16103.079032487287,29143.0723794471,-2329556091160.0947,-287369423528.7298,2818634165547.297,347701125706.0322,5187212885718.327,2347213830787.543,2839999054930.784,7675.309733848246,6977.713606572672,6.450686556400367e+37,4.406308089369121e+37,1.0856994645769488e+38,-5.100283784928239e+37,-3.779465395714286e+37,4.489687924431846e-06,5.432274339505935e-06,9.92196226393778e-06
16132.251277111358,29143.0723794471,-2326633500108.5376,-292594501309.58997,2815097991844.0317,354023181142.54254,5182230905951.274,2344959484942.9517,2837271421008.3228,7689.542845519174,6990.653094412769,6.474633074451725e+37,4.422665377121266e+37,1.089729845157299e+38,-5.105186984164992e+37,-3.779465395714286e+37,4.498324469738858e-06,5.44272408217022e-06,9.941048551909077e-06
16161.42352173543,29143.0723794471,-2323660757359.9043,-297805977714.5652,2811501137358.1157,360328779665.68933,5177164189383.599,2342666795696.0786,2834497393687.52,7704.019090221512,7003.813617327713,6.499034160603475e+37,4.439333169356991e+37,1.0938367329960467e+38,-5.1101832590613525e+37,-3.779465395714286e+37,4.507133496084551e-06,5.4533825173619695e-06,9.96051601344652e-06
16190.595766359502,29143.0723794471,-2320638128009.9653,-303003641213.8665,2807843922840.786,366617665336.1147,5172013228916.186,2340335986084.574,2831677242831.6113,7718.737191350341,7017.194014741075,6.523889969290278e+37,4.456311571566877e+37,1.0980201540857154e+38,-5.115272641238779e+37,-3.779465395714286e+37,4.516115540876072e-06,5.464250295314142e-06,9.980365836190213e-06
16219.768010983573,29143.0723794471,-2317565880750.3047,-308187282475.485,2804126673394.0156,372889584873.65314,5166778524227.208,2337967282212.8115,2828811242014.3965,7733.695860957584,7030.793115764237,6.549200657842275e+37,4.47360069121934e+37,1.1022801349061615e+38,-5.120455162911603e+37,-3.779465395714286e+37,4.525271151765968e-06,5.47532807865606e-06,1.000059923042203e-05
